51.51557N,0.304245W,35.16,20:20.08
51.51557N,0.3042492W,35.1,20:20.09
51.51557N,0.3042512W,35.09,20:20.10
51.51556N,0.3042522W,35.25,20:20.11
51.51565N,0.3041773W,35.79,20:20.48
51.51564N,0.3042665W,35.79,20:21.07
51.51564N,0.3042687W,39.69,20:21.08
51.51564N,0.3042678W,40.21,20:21.16
51.51564N,0.3042772W,42.34,20:21.35
51.51564N,0.3042768W,46.59,20:21.36
51.51564N,0.3042765W,46.61,20:21.37
51.51561N,0.3043023W,46.73,20:22.22
51.51561N,0.3043018W,41.99,20:22.25
51.51561N,0.3043038W,42.36,20:22.27
51.51561N,0.304303W,42.36,20:22.30
51.51561N,0.3043061W,41.98,20:22.32
51.51561N,0.3043046W,41.68,20:22.37
51.51564N,0.304254W,41.94,20:22.40
51.51564N,0.304247W,42.25,20:22.44
51.51565N,0.3042627W,40.99,20:22.49
51.51566N,0.3042845W,40.89,20:22.53
51.51566N,0.3042843W,40.89,20:22.59
51.51567N,0.3042893W,39.87,20:23.03
51.51568N,0.3042917W,38.88,20:23.04
51.51569N,0.3043012W,38.73,20:23.09
51.51575N,0.304321W,40.01,20:23.14
51.51588N,0.3044525W,40.67,20:23.29
51.51588N,0.3044633W,39.18,20:23.33
51.51588N,0.3044657W,39.14,20:23.36
51.51588N,0.3044642W,39.21,20:23.37
51.51588N,0.304477W,39.33,20:23.42
51.51651N,0.3070832W,39.18,20:24.13
51.5153N,0.3082653W,38.31,20:24.50
51.51524N,0.3082522W,35.96,20:24.51
51.5152N,0.3082392W,35.99,20:24.52
51.51515N,0.3082262W,35.95,20:24.53
51.51511N,0.3082082W,35.92,20:24.54
51.51507N,0.3081955W,35.92,20:24.55
51.51505N,0.30819W,35.52,20:24.56
51.51503N,0.308194W,35.27,20:24.57
51.51502N,0.3082098W,35.09,20:24.58
51.51501N,0.3082328W,34.92,20:24.59
51.51498N,0.3083117W,35.12,20:25.01
51.51497N,0.3083637W,35.41,20:25.02
51.51494N,0.3084828W,35.65,20:25.04
51.51493N,0.3086173W,35.65,20:25.06
51.51492N,0.3086867W,36.78,20:25.07
51.51492N,0.3087622W,36.3,20:25.08
51.51492N,0.3088453W,35.91,20:25.09
51.51492N,0.3089268W,35.07,20:25.10
51.51491N,0.3090101W,33.73,20:25.11
51.51489N,0.3092252W,33.1,20:25.14
51.51489N,0.3093052W,33.07,20:25.15
51.51489N,0.3093882W,33.2,20:25.16
51.51489N,0.3094722W,33.54,20:25.17
51.51489N,0.3095565W,33.37,20:25.18
51.51488N,0.3096405W,33.51,20:25.19
51.51488N,0.3097275W,33.48,20:25.20
51.51488N,0.3098163W,33.59,20:25.21
51.51487N,0.309978W,33.4,20:25.23
51.51486N,0.3100592W,33.38,20:25.24
51.51486N,0.3101387W,33.27,20:25.25
51.51486N,0.3102117W,33.05,20:25.26
51.51487N,0.310282W,32.14,20:25.27
51.51487N,0.310353W,31.76,20:25.28
51.51487N,0.310425W,31.77,20:25.29
51.51487N,0.3104987W,31.57,20:25.30
51.51487N,0.3105715W,31.95,20:25.31
51.51487N,0.3106535W,32.25,20:25.32
51.51485N,0.3108187W,32.2,20:25.34
51.51484N,0.3109987W,32.43,20:25.36
51.51484N,0.3110913W,32.43,20:25.37
51.51483N,0.311183W,33.41,20:25.38
51.51482N,0.3115357W,33.71,20:25.42
51.51481N,0.311631W,33.68,20:25.43
51.5148N,0.3117173W,33.82,20:25.44
51.5148N,0.3118083W,33.97,20:25.45
51.51477N,0.3120692W,33.9,20:25.48
51.51476N,0.3122505W,33.85,20:25.50
51.51476N,0.3123402W,33.42,20:25.51
51.51475N,0.3124297W,33.2,20:25.52
51.51474N,0.3126062W,33.15,20:25.54
51.51473N,0.3127733W,33.43,20:25.56
51.51472N,0.312942W,33.43,20:25.58
51.51471N,0.3130263W,33.25,20:25.59
51.51471N,0.3131099W,33.53,20:26.00
51.5147N,0.3131905W,33.63,20:26.01
51.5147N,0.3132687W,33.85,20:26.02
51.51469N,0.3133463W,34.05,20:26.03
51.51469N,0.3134233W,34.16,20:26.04
51.51468N,0.313501W,34.13,20:26.05
51.51468N,0.3135783W,34.01,20:26.06
51.51468N,0.3137298W,33.97,20:26.08
51.51468N,0.313808W,33.68,20:26.09
51.51468N,0.3138987W,33.43,20:26.10
51.51468N,0.3139897W,33.36,20:26.11
51.51468N,0.3140798W,33.55,20:26.12
51.51468N,0.3141777W,33.73,20:26.13
51.51468N,0.3142592W,33.78,20:26.14
51.51469N,0.3143378W,33.91,20:26.15
51.51471N,0.3144157W,33.76,20:26.16
51.51472N,0.3144928W,33.56,20:26.17
51.51474N,0.3145723W,33.41,20:26.18
51.51476N,0.314653W,33.29,20:26.19
51.51479N,0.3147413W,33.25,20:26.20
51.51487N,0.314991W,33.13,20:26.23
51.51491N,0.3150795W,34.28,20:26.24
51.51493N,0.3151745W,34.24,20:26.25
51.51502N,0.315587W,34.35,20:26.29
51.51503N,0.315692W,34.35,20:26.30
51.51505N,0.3157964W,35.87,20:26.31
51.51506N,0.315899W,35.94,20:26.32
51.51507N,0.3160033W,36.15,20:26.33
51.51509N,0.3161088W,36.48,20:26.34
51.5151N,0.3162108W,36.55,20:26.35
51.5151N,0.3163073W,36.54,20:26.36
51.51511N,0.3164963W,35.48,20:26.38
51.51511N,0.3165892W,34.88,20:26.39
51.51511N,0.3167745W,34.34,20:26.41
51.51504N,0.3177483W,33.64,20:26.52
51.51503N,0.3178235W,35.34,20:26.53
51.51502N,0.3180387W,35.61,20:27.01
51.51502N,0.3180387W,35.23,20:27.03
51.51502N,0.3180387W,35.23,20:27.09
51.51502N,0.3180387W,35.23,20:27.14
51.51502N,0.3180387W,35.23,20:27.16
51.51502N,0.3180387W,35.23,20:27.18
51.51502N,0.3180387W,35.23,20:27.20
51.51502N,0.3180607W,35.23,20:27.22
51.51503N,0.318169W,35.23,20:27.24
51.51503N,0.3184052W,37.73,20:27.27
51.51502N,0.318889W,39.75,20:27.32
51.51501N,0.3191442W,45.29,20:27.35
51.51502N,0.3193427W,45.43,20:27.38
51.51501N,0.3194818W,45.61,20:27.41
51.51501N,0.3195207W,44.91,20:27.42
51.515N,0.3195582W,44.91,20:27.43
51.51499N,0.319589W,41.89,20:27.44
51.51499N,0.319615W,41.89,20:27.45
51.51499N,0.3196367W,40.9,20:27.46
51.51506N,0.3196949W,40.9,20:27.51
51.51508N,0.3196954W,39.36,20:27.52
51.51511N,0.3196972W,39.39,20:27.53
51.51538N,0.3196922W,39.61,20:27.58
51.51546N,0.3196837W,41.47,20:27.59
51.51554N,0.3196732W,42.35,20:28.00
51.51563N,0.3196617W,43.2,20:28.01
51.51572N,0.319643W,43.4,20:28.02
51.51582N,0.3196203W,43.6,20:28.03
51.51591N,0.3195975W,43.87,20:28.04
51.51599N,0.3195775W,44.27,20:28.05
51.51614N,0.3195404W,44.3,20:28.07
51.5162N,0.3195302W,43.45,20:28.08
51.51625N,0.3195242W,42.96,20:28.09
51.51637N,0.3195027W,42.58,20:28.11
51.51641N,0.3194988W,42.54,20:28.12
51.51645N,0.3195045W,42.48,20:28.13
51.51651N,0.3195417W,42.32,20:28.15
51.51653N,0.3196141W,39.18,20:28.16
51.51654N,0.3196938W,37.58,20:28.17
51.51654N,0.3197792W,36.23,20:28.18
