51.52175N,0.3414018W,0.0,00:08.37
51.52174N,0.3414005W,24.37,00:08.40
51.52174N,0.3414011W,24.36,00:08.41
51.52174N,0.3414018W,24.37,00:08.42
51.52174N,0.3414043W,24.37,00:08.43
51.52174N,0.3414093W,24.37,00:08.44
51.52174N,0.3414115W,24.38,00:08.45
51.52174N,0.341415W,24.38,00:08.46
51.52174N,0.341427W,24.38,00:08.48
51.52174N,0.3414325W,24.39,00:08.49
51.52173N,0.3414373W,24.4,00:08.50
51.52173N,0.3414435W,24.4,00:08.51
51.52173N,0.3414507W,24.4,00:08.52
51.52173N,0.341457W,24.4,00:08.53
51.52173N,0.3414602W,24.41,00:08.54
51.52173N,0.3414622W,24.41,00:08.55
51.52173N,0.3414675W,24.41,00:08.56
51.52173N,0.3414713W,24.4,00:08.57
51.52173N,0.3414738W,24.4,00:08.58
51.52172N,0.3414722W,24.4,00:08.59
51.52169N,0.3414567W,24.41,00:09.00
51.52169N,0.341464W,24.41,00:09.01
51.52167N,0.341461W,24.41,00:09.02
51.52166N,0.3414695W,24.42,00:09.03
51.52165N,0.34147W,24.42,00:09.04
51.52164N,0.3414713W,24.43,00:09.05
51.52164N,0.3414782W,24.44,00:09.07
51.52164N,0.3414822W,24.42,00:09.08
51.52164N,0.341486W,24.41,00:09.09
51.52163N,0.341487W,24.41,00:09.10
51.52162N,0.3414871W,24.4,00:09.11
51.52162N,0.3414874W,24.39,00:09.12
51.52161N,0.341489W,24.38,00:09.13
